season,week,contestant_row,celebrity_name,ballroom_partner,placement,results,judge_total_S,judge_share_Q,fan_share_P,fan_votes_V,composite_C
1,1,2,John O'Hurley,Charlotte Jorgensen,2,2nd Place,6.666666666666667,0.18348623853211007,0.238095238095238,2380952.3809523806,0.4215814766273481
1,1,4,Rachel Hunter,Jonathan Roberts,4,Eliminated Week 4,6.666666666666667,0.18348623853211007,0.238095238095238,2380952.3809523806,0.4215814766273481
1,1,1,Joey McIntyre,Ashly DelGrosso,3,3rd Place,6.666666666666667,0.18348623853211007,0.238095238095238,2380952.3809523806,0.4215814766273481
1,1,0,Evander Holyfield,Edyta Sliwinska,5,Eliminated Week 3,6.0,0.16513761467889906,0.119047619047619,1190476.1904761903,0.28418523372651805
1,1,5,Trista Sutter,Louis van Amstel,6,Eliminated Week 2,6.0,0.16513761467889906,0.119047619047619,1190476.1904761903,0.28418523372651805
1,1,3,Kelly Monaco,Alec Mazo,1,1st Place,4.333333333333333,0.11926605504587154,0.0476190476190476,476190.47619047615,0.16688510266491913
1,2,0,Evander Holyfield,Edyta Sliwinska,5,Eliminated Week 3,4.666666666666667,0.11570247933884298,0.2857142857142857,2857142.857142857,0.4014167650531287
1,2,3,Kelly Monaco,Alec Mazo,1,1st Place,5.666666666666667,0.14049586776859505,0.238095238095238,2380952.3809523806,0.37859110586383304
1,2,1,Joey McIntyre,Ashly DelGrosso,3,3rd Place,7.0,0.17355371900826444,0.1904761904761904,1904761.9047619049,0.36402990948445485
1,2,4,Rachel Hunter,Jonathan Roberts,4,Eliminated Week 4,8.0,0.1983471074380165,0.1428571428571428,1428571.4285714284,0.34120425029515933
1,2,2,John O'Hurley,Charlotte Jorgensen,2,2nd Place,8.666666666666666,0.21487603305785122,0.0952380952380952,952380.9523809524,0.3101141282959464
1,2,5,Trista Sutter,Louis van Amstel,6,Eliminated Week 2,6.333333333333333,0.15702479338842973,0.0476190476190476,476190.47619047615,0.20464384100747735
1,3,3,Kelly Monaco,Alec Mazo,1,1st Place,7.0,0.1981132075471698,0.3333333333333333,3333333.333333333,0.5314465408805031
1,3,1,Joey McIntyre,Ashly DelGrosso,3,3rd Place,7.333333333333333,0.20754716981132074,0.2666666666666666,2666666.6666666665,0.4742138364779873
1,3,2,John O'Hurley,Charlotte Jorgensen,2,2nd Place,8.0,0.22641509433962262,0.2,2000000.0,0.42641509433962266
1,3,4,Rachel Hunter,Jonathan Roberts,4,Eliminated Week 4,8.666666666666666,0.2452830188679245,0.1333333333333333,1333333.3333333333,0.3786163522012578
1,3,0,Evander Holyfield,Edyta Sliwinska,5,Eliminated Week 3,4.333333333333333,0.12264150943396225,0.0666666666666666,666666.6666666666,0.18930817610062883
1,4,1,Joey McIntyre,Ashly DelGrosso,3,3rd Place,6.666666666666667,0.21739130434782608,0.4,4000000.0,0.6173913043478261
1,4,2,John O'Hurley,Charlotte Jorgensen,2,2nd Place,7.0,0.22826086956521738,0.3,3000000.0,0.5282608695652173
1,4,3,Kelly Monaco,Alec Mazo,1,1st Place,8.666666666666666,0.2826086956521739,0.2,2000000.0,0.4826086956521739
1,4,4,Rachel Hunter,Jonathan Roberts,4,Eliminated Week 4,8.333333333333334,0.2717391304347826,0.1,1000000.0,0.37173913043478257
1,5,3,Kelly Monaco,Alec Mazo,1,1st Place,7.833333333333333,0.3219178082191781,0.5,5000000.0,0.821917808219178
1,5,2,John O'Hurley,Charlotte Jorgensen,2,2nd Place,9.0,0.36986301369863017,0.3333333333333333,3333333.333333333,0.7031963470319635
1,5,1,Joey McIntyre,Ashly DelGrosso,3,3rd Place,7.5,0.3082191780821918,0.1666666666666666,1666666.6666666665,0.4748858447488584
1,6,3,Kelly Monaco,Alec Mazo,1,1st Place,9.166666666666666,0.5045871559633028,0.6666666666666666,6666666.666666666,1.1712538226299696
1,6,2,John O'Hurley,Charlotte Jorgensen,2,2nd Place,9.0,0.49541284403669733,0.3333333333333333,3333333.333333333,0.8287461773700306
2,1,1,George Hamilton,Edyta Sliwinska,5,Eliminated Week 6,6.0,0.09230769230769231,0.1636363636363636,1636363.6363636365,0.2559440559440559
2,1,6,Master P,Ashly DelGrosso,7,Eliminated Week 4,4.0,0.06153846153846154,0.1818181818181818,1818181.818181818,0.24335664335664334
2,1,5,Lisa Rinna,Louis van Amstel,4,Eliminated Week 7,6.333333333333333,0.09743589743589744,0.1454545454545454,1454545.4545454546,0.24289044289044281
2,1,9,Tia Carrere,Maksim Chmerkoskiy,6,Eliminated Week 5,6.666666666666667,0.10256410256410257,0.1272727272727272,1272727.2727272727,0.2298368298368298
2,1,3,Jerry Rice,Anna Trebunskaya,2,2nd Place,7.0,0.1076923076923077,0.109090909090909,1090909.0909090908,0.21678321678321671
2,1,7,Stacy Keibler,Tony Dovolani,3,3rd Place,7.333333333333333,0.11282051282051282,0.0909090909090909,909090.9090909092,0.20372960372960372
2,1,8,Tatum O'Neal,Nick Kosovich,9,Eliminated Week 2,7.666666666666667,0.11794871794871796,0.0727272727272727,727272.7272727273,0.19067599067599067
2,1,2,Giselle Fernandez,Jonathan Roberts,8,Eliminated Week 3,7.666666666666667,0.11794871794871796,0.0545454545454545,545454.5454545454,0.17249417249417245
2,1,0,Drew Lachey,Cheryl Burke,1,1st Place,8.0,0.12307692307692308,0.0363636363636363,363636.3636363637,0.15944055944055938
2,1,4,Kenny Mayne,Andrea Hale,10,Eliminated Week 1,4.333333333333333,0.06666666666666667,0.0181818181818181,181818.18181818185,0.08484848484848477
2,2,6,Master P,Ashly DelGrosso,7,Eliminated Week 4,5.333333333333333,0.07999999999999999,0.2,2000000.0,0.28
2,2,5,Lisa Rinna,Louis van Amstel,4,Eliminated Week 7,6.666666666666667,0.09999999999999999,0.1777777777777777,1777777.7777777778,0.2777777777777777
2,2,9,Tia Carrere,Maksim Chmerkoskiy,6,Eliminated Week 5,7.333333333333333,0.10999999999999999,0.1555555555555555,1555555.5555555555,0.2655555555555555
2,2,1,George Hamilton,Edyta Sliwinska,5,Eliminated Week 6,7.333333333333333,0.10999999999999999,0.1333333333333333,1333333.3333333333,0.2433333333333333
2,2,3,Jerry Rice,Anna Trebunskaya,2,2nd Place,7.666666666666667,0.11499999999999999,0.1111111111111111,1111111.111111111,0.2261111111111111
2,2,2,Giselle Fernandez,Jonathan Roberts,8,Eliminated Week 3,8.0,0.12,0.0888888888888888,888888.8888888889,0.2088888888888888
2,2,0,Drew Lachey,Cheryl Burke,1,1st Place,9.0,0.13499999999999998,0.0666666666666666,666666.6666666666,0.20166666666666658
2,2,7,Stacy Keibler,Tony Dovolani,3,3rd Place,9.666666666666666,0.145,0.0444444444444444,444444.4444444445,0.1894444444444444
2,2,8,Tatum O'Neal,Nick Kosovich,9,Eliminated Week 2,5.666666666666667,0.08499999999999999,0.0222222222222222,222222.22222222225,0.10722222222222219
2,3,6,Master P,Ashly DelGrosso,7,Eliminated Week 4,4.666666666666667,0.07692307692307693,0.2222222222222222,2222222.222222222,0.29914529914529914
2,3,3,Jerry Rice,Anna Trebunskaya,2,2nd Place,6.333333333333333,0.1043956043956044,0.1944444444444444,1944444.4444444445,0.2988400488400488
2,3,1,George Hamilton,Edyta Sliwinska,5,Eliminated Week 6,7.333333333333333,0.12087912087912088,0.1666666666666666,1666666.6666666665,0.28754578754578747
2,3,5,Lisa Rinna,Louis van Amstel,4,Eliminated Week 7,8.333333333333334,0.13736263736263737,0.1388888888888889,1388888.888888889,0.27625152625152627
2,3,9,Tia Carrere,Maksim Chmerkoskiy,6,Eliminated Week 5,8.666666666666666,0.14285714285714285,0.1111111111111111,1111111.111111111,0.25396825396825395
2,3,7,Stacy Keibler,Tony Dovolani,3,3rd Place,9.0,0.14835164835164835,0.0833333333333333,833333.3333333333,0.23168498168498164
2,3,0,Drew Lachey,Cheryl Burke,1,1st Place,9.0,0.14835164835164835,0.0555555555555555,555555.5555555555,0.20390720390720385
