feature,group,coef_judge,coef_fan
ballroom_partner_Charlotte Jorgensen,ballroom_partner_,0.5216002665003828,-0.30921019636743446
ballroom_partner_Val Chmerkovskiy,ballroom_partner_,0.20770084036228711,-0.4087264042529548
ballroom_partner_Jenna Johnson,ballroom_partner_,0.08168269346465873,-1.234492197116129
ballroom_partner_Brandon Armstrong,ballroom_partner_,0.051133468411343315,-0.6900582269404169
ballroom_partner_Pasha Pashkov,ballroom_partner_,0.03338850125570389,-0.5609794396570529
ballroom_partner_Daniella Karagach (Rumer Willis week 9),ballroom_partner_,0.033327546915577384,0.3890329236379946
ballroom_partner_Sasha Farber,ballroom_partner_,0.026575992295878703,-0.7063889140845914
ballroom_partner_Witney Carson,ballroom_partner_,0.015173934914330903,-0.5362843694527851
ballroom_partner_Kym Herjavec,ballroom_partner_,0.009263680345476463,-0.4090208864040102
ballroom_partner_Witney Carson (Xoshitl Gomez week 9),ballroom_partner_,0.006830148027348604,-0.06742445135269914
ballroom_partner_Rylee Arnold,ballroom_partner_,-0.009125688893415279,0.07617613369232867
ballroom_partner_Henry Byalikov,ballroom_partner_,-0.009888798644013153,0.2214594738031121
ballroom_partner_Derek Hough,ballroom_partner_,-0.010895195082747361,-0.17876052942122755
ballroom_partner_Gleb Savchenko,ballroom_partner_,-0.013814670031260468,-0.6955488776548131
ballroom_partner_Ezra Sosa,ballroom_partner_,-0.017374133196430316,-0.8506586076173629
ballroom_partner_Alec Mazo,ballroom_partner_,-0.02082597265049682,-1.847980722654127
ballroom_partner_Emma Slater/Kaitlyn Bristowe (week 9),ballroom_partner_,-0.041094608455861374,1.1393429994249256
ballroom_partner_Val Chmerkovskiy (Joey Graziadei week 9),ballroom_partner_,-0.044347442214195926,-0.40442368521492433
ballroom_partner_Valentin Chmerkovskiy,ballroom_partner_,-0.044411685504679055,-0.7598399475051547
ballroom_partner_Artem Chigvintsev,ballroom_partner_,-0.047616431412833275,-1.3925758782087794
ballroom_partner_Emma Slater,ballroom_partner_,-0.04929989517965644,-0.602162653725508
ballroom_partner_Damian Whitewood,ballroom_partner_,-0.06212637812837429,-1.186567353301679
ballroom_partner_Sharna Burgess,ballroom_partner_,-0.07772438722672115,-0.9045318668659205
ballroom_partner_Keo Motsepe,ballroom_partner_,-0.07993114265527473,-1.862077308073663
ballroom_partner_Daniella Karagach,ballroom_partner_,-0.08502698160919328,-0.09253006848095718
ballroom_partner_Tony Dovolani,ballroom_partner_,-0.08521656579616399,-1.0002310827563927
ballroom_partner_Cheryl Burke,ballroom_partner_,-0.08707095489336836,-0.5372138555440709
ballroom_partner_Ezra Sosa (Apolo Anton Ohno week 9),ballroom_partner_,-0.0931822827444953,-0.7872329649948623
ballroom_partner_Peta Murgatroyd,ballroom_partner_,-0.09438438388759093,-0.3659529881009993
ballroom_partner_Alan Bersten (Rashad Jennings week 9),ballroom_partner_,-0.09454611276232978,-0.24263964830732798
