feature,coef,se_robust,t_robust
celebrity_homecountry/region_New Zealand,2.8467685546690786,16.477807703640273,0.17276379272469428
celebrity_homestate_Utah,2.046570199099364,,
celebrity_homestate_Maine,1.4593127430063304,,
celebrity_industry_Musician,1.4014266123214165,0.49020017481633094,2.858886398493239
celebrity_homecountry/region_South Korea,1.2117809901385814,19.073329334227203,0.06353274611391695
celebrity_homecountry/region_Wales,1.1628148122763047,8.238903851820137,0.14113707760036742
celebrity_homestate_Pennsylvania,1.1511593058895107,0.0,
ballroom_partner_Emma Slater/Kaitlyn Bristowe (week 9),1.1393429994249256,,
celebrity_homestate_Washington D.C.,1.1328191385400574,0.0,
celebrity_homecountry/region_Ireland,1.1276044227175366,23.30313913266394,0.04838852037479263
celebrity_industry_Motivational Speaker,1.1080957330658028,,
celebrity_homestate_Louisiana,1.0983217532099399,0.0,
celebrity_homestate_Arizona,1.0766375067923506,0.0,
celebrity_homecountry/region_Croatia,1.0275515677028402,18.680022570736988,0.055008047437401994
celebrity_homestate_Arkansas,0.9846193117196236,,
celebrity_industry_Astronaut,0.906556393011418,,
celebrity_homestate_Massachusetts,0.8484098988033999,,
celebrity_homestate_Mississippi,0.8379451899930639,11.65156956633197,0.07191693661722327
celebrity_industry_News Anchor,0.8232583577771552,0.9633486080025967,0.8545799007112242
celebrity_industry_Fitness Instructor,0.7944449262553352,,
celebrity_homestate_Washington,0.7841393080784322,16.477807703640273,0.04758759916255124
celebrity_homestate_Georgia,0.7767266591595651,0.0,
celebrity_homestate_Nevada,0.7594301485223542,0.0,
celebrity_homestate_Tennessee,0.6724316625899138,,
celebrity_homestate_Oregon,0.6498968089100584,,
celebrity_homestate_Connecticut,0.5797664684037706,0.0,
celebrity_homestate_Nebraska,0.5615625968448953,,
celebrity_homestate_South Dakota,0.5570904114330764,0.0,
celebrity_industry_Producer,0.5502931697061344,88776.8436979084,6.1986115611260395e-06
ballroom_partner_Corky Ballas,0.520414429298625,,
celebrity_homecountry/region_Germany,0.5014953367482504,8.238903851820137,0.06086918184358471
celebrity_homestate_Virginia,0.48798699085261515,,
celebrity_homestate_Alaska,0.47338485849042966,11.65156956633197,0.040628419698776765
celebrity_homestate_Texas,0.4616256679246129,0.0,
celebrity_homestate_Hawaii,0.4587431252733649,,
celebrity_industry_Military,0.4527410070356296,,
celebrity_homestate_South Carolina,0.42119454078903906,0.0,
celebrity_industry_Journalist,0.4058434757587508,,
celebrity_homecountry/region_Philippines,0.40180194261186764,16.477807703640273,0.02438442964248828
celebrity_homestate_Florida,0.39289162725823945,,
ballroom_partner_Daniella Karagach (Rumer Willis week 9),0.3890329236379946,0.05574296902354454,6.979049204818568
celebrity_homestate_Minnesota,0.38552876157835614,,
celebrity_homestate_Kentucky,0.3370013795906385,,
celebrity_homecountry/region_Mexico,0.3368625463693675,16.875303515073995,0.01996186593434971
ballroom_partner_Henry Byalikov,0.2214594738031121,1.1920830833892002,0.1857752004780428
celebrity_industry_Racing Driver,0.2075840486290319,,
celebrity_homestate_Michigan,0.19823554481793515,,
celebrity_homestate_New York,0.19466450481814412,0.0,
celebrity_homecountry/region_Canada,0.1367669028519931,13.026850797443014,0.010498846189198583
celebrity_homecountry/region_England,0.1332114485082201,0.0,
celebrity_homestate_Iowa,0.1219289901547187,,
celebrity_homestate_Illinois,0.12188713776961879,0.0,
ballroom_partner_Rylee Arnold,0.07617613369232867,,
celebrity_homecountry/region_Brazil,0.07156635213499962,16.477807703640273,0.004343196220161569
celebrity_homestate_New Jersey,0.05831525496077261,,
celebrity_homecountry/region_Cuba,0.05723719240248948,5.825784783165985,0.009824803787445147
week,0.01436252120498778,61755.4569281627,2.325708839252059e-07
celebrity_homestate_Kansas,0.003708042354920865,0.0,
season,-0.003128582096676963,22621.783804981365,-1.382995312680887e-07
age,-0.02628901057695654,0.019345517558220667,-1.3589199925946314
celebrity_homecountry/region_France,-0.03495673193263582,11.421732992676048,-0.003060545361640927
celebrity_industry_Conservationist,-0.0674244513526927,,
ballroom_partner_Witney Carson (Xoshitl Gomez week 9),-0.06742445135269914,,
celebrity_homestate_Delaware,-0.09054731584549425,,
ballroom_partner_Daniella Karagach,-0.09253006848095718,2.00054363388582,-0.046252462037645464
ballroom_partner_Koko Iwasaki,-0.10520961670717288,0.5537010216972437,-0.1900115993730279
celebrity_homestate_Maryland,-0.14365410575048543,8.238903851820137,-0.01743607017804309
ballroom_partner_Derek Hough,-0.17876052942122755,2.6507720882966654,-0.06743715546518207
celebrity_homestate_California,-0.19186951373157823,,
ballroom_partner_Allison Holker,-0.23868178160239606,2.5226388096012804,-0.09461591595830608
ballroom_partner_Alan Bersten (Rashad Jennings week 9),-0.24263964830732798,3.7254768455640654,-0.06512982320538098
celebrity_industry_Athlete,-0.2432913541399886,,
ballroom_partner_Anna Demidova,-0.29584147037660113,,
ballroom_partner_Charlotte Jorgensen,-0.30921019636743446,,
celebrity_homecountry/region_Venezuela,-0.3210076835263444,0.0,
celebrity_industry_TV Personality,-0.34549004948653883,,
celebrity_industry_Social Media Personality,-0.3455862179335785,0.6306597024003201,-0.547975741304322
celebrity_homestate_Missouri,-0.3508501769513043,,
ballroom_partner_Peta Murgatroyd,-0.3659529881009993,1.078978087730742,-0.33916628359956325
celebrity_industry_Sports Broadcaster,-0.37411541366074497,96201133.79546294,-3.888887780222701e-09
celebrity_homestate_North Carolina,-0.38798823560909756,0.0,
ballroom_partner_Tristan MacManus,-0.39111648758461093,0.9102788723696852,-0.4296666653005317
ballroom_partner_Val Chmerkovskiy (Joey Graziadei week 9),-0.40442368521492433,29548022664.982162,-1.3686996581812337e-11
celebrity_industry_Social media personality,-0.40442368521496175,41991554069.383736,-9.631072109089413e-12
ballroom_partner_Fabian Sanchez,-0.40665169252104527,,
ballroom_partner_Val Chmerkovskiy,-0.4087264042529548,1.7744601930823856,-0.2303384465012782
ballroom_partner_Kym Herjavec,-0.4090208864040102,,
ballroom_partner_Lindsay Arnold,-0.42074546955511277,0.6808100987091361,-0.6180070923637528
celebrity_industry_Singer/Rapper,-0.458134528193881,,
intercept,-0.45953354380495964,,
celebrity_homestate_Colorado,-0.5224084129058566,,
ballroom_partner_Witney Carson,-0.5362843694527851,,
ballroom_partner_Cheryl Burke,-0.5372138555440709,,
celebrity_homecountry/region_Chile,-0.5383694666157651,7.245728338171336,-0.07430163559673807
ballroom_partner_Louis van Amstel,-0.5423545208015146,,
ballroom_partner_Pasha Pashkov,-0.5609794396570529,1.661103065091731,-0.33771501085399175
celebrity_homecountry/region_Russia,-0.5622719916126084,18.42274907275468,-0.030520525975363248
celebrity_homecountry/region_United States,-0.5956469146133798,,
ballroom_partner_Emma Slater,-0.602162653725508,1.2178701283855762,-0.49443913574244763
celebrity_industry_Comedian,-0.6231322540982249,870361.8868392378,-7.159461639125313e-07
ballroom_partner_Karina Smirnoff,-0.6490773596326526,,
ballroom_partner_Julianne Hough,-0.6862063564321559,2.807144192651986,-0.24444998522996353
ballroom_partner_Brandon Armstrong,-0.6900582269404169,2.059725962955034,-0.3350242893236189
ballroom_partner_Gleb Savchenko,-0.6955488776548131,,
celebrity_homestate_Wisconsin,-0.7063661673345488,0.0,
ballroom_partner_Sasha Farber,-0.7063889140845914,,
celebrity_homecountry/region_Taiwan China,-0.7084067792640053,17.078345475188286,-0.0414798248631983
celebrity_homestate_New Hamshire,-0.7215864972438927,,
ballroom_partner_Valentin Chmerkovskiy,-0.7598399475051547,2.639808729872087,-0.2878390161024935
celebrity_homestate_Ohio,-0.786828150395833,8.238903851820137,-0.09550155755513606
ballroom_partner_Ezra Sosa (Apolo Anton Ohno week 9),-0.7872329649948623,1.1798562670134065,-0.6672278539381756
celebrity_homestate_West Virginia,-0.8226179106944225,0.0,
ballroom_partner_Maksim Chmerkoskiy,-0.8257525616778321,,
celebrity_homecountry/region_Poland,-0.8427481721120422,10.451967725917898,-0.08063057542956885
celebrity_homecountry/region_Australia,-0.8501267570173416,18.42274907275468,-0.046145488583709274
ballroom_partner_Ezra Sosa,-0.8506586076173629,,
