feature,coef,se_robust,t_robust
celebrity_homecountry/region_New Zealand,0.7534353924969567,5.825784783165985,0.1293277078607609
ballroom_partner_Charlotte Jorgensen,0.5216002665003828,0.0,
celebrity_homestate_Maine,0.32264172242562106,0.0,
ballroom_partner_Val Chmerkovskiy,0.20770084036228711,0.7004472451546594,0.29652602933205424
celebrity_homestate_Tennessee,0.18343886453702654,0.0,
celebrity_industry_Musician,0.1511364345138916,,
week,0.1320270789241144,5.50154206016973,0.023998194957004684
celebrity_homestate_Indiana,0.12602239018999659,0.0,
celebrity_homestate_Colorado,0.10908506254316087,0.0,
ballroom_partner_Jenna Johnson,0.08168269346465873,0.26938430206764197,0.30321994577155553
celebrity_homestate_Mississippi,0.07396306947709952,2.9128923915829925,0.02539162438366107
celebrity_industry_News Anchor,0.07239142433658448,0.3385936106632996,0.21380032598598303
celebrity_homestate_Massachusetts,0.06673083506421254,,
celebrity_homestate_Utah,0.06166083033079009,,
celebrity_homestate_Wisconsin,0.05863667138349981,,
celebrity_industry_Journalist,0.05329938772499801,,
ballroom_partner_Brandon Armstrong,0.051133468411343315,0.7348819588242559,0.0695805194253948
celebrity_homestate_Oregon,0.048665275315571285,0.0,
celebrity_homestate_Connecticut,0.034592552316099257,,
ballroom_partner_Pasha Pashkov,0.03338850125570389,1.0294228825062075,0.0324341937828476
ballroom_partner_Daniella Karagach (Rumer Willis week 9),0.033327546915577384,0.4178980345922608,0.07975042751300508
celebrity_homestate_Georgia,0.029586661030476247,0.0,
ballroom_partner_Sasha Farber,0.026575992295878703,0.7692058453828775,0.03454990943633602
celebrity_homecountry/region_Brazil,0.023710561964603805,2.9128923915829925,0.008139868823550483
celebrity_homestate_Pennsylvania,0.01882623734468601,,
ballroom_partner_Witney Carson,0.015173934914330903,0.7911935079762897,0.019178538197491924
ballroom_partner_Kym Herjavec,0.009263680345476463,0.7609136470756617,0.012174417400816215
celebrity_industry_Conservationist,0.006830148027349714,1.7539097442819795e+17,3.894241450916768e-20
ballroom_partner_Witney Carson (Xoshitl Gomez week 9),0.006830148027348604,1.7539097442819795e+17,3.8942414509161355e-20
celebrity_industry_Athlete,0.0015355530679193041,,
celebrity_homestate_South Carolina,0.0011686217385800737,,
celebrity_homestate_Louisiana,0.0002209482426372561,2.9128923915829925,7.585183828819135e-05
celebrity_homecountry/region_South Korea,-0.0035438874355018107,4.155500320666324,-0.00085281847239361
age,-0.005798368510014196,0.00784490118645184,-0.7391257547039586
celebrity_homecountry/region_Croatia,-0.007009073940445004,5.757109085235838,-0.0012174641537399113
ballroom_partner_Rylee Arnold,-0.009125688893415279,0.4784379338425992,-0.019073924218595783
ballroom_partner_Henry Byalikov,-0.009888798644013153,0.6303260132041553,-0.015688387337443245
ballroom_partner_Derek Hough,-0.010895195082747361,1.2786755475886549,-0.008520687756400504
ballroom_partner_Gleb Savchenko,-0.013814670031260468,0.4518562799348685,-0.030573150456715447
season,-0.01615108158429067,2.0152451772418956,-0.008014449937250494
ballroom_partner_Ezra Sosa,-0.017374133196430316,19546449.32549722,-8.888639009114948e-10
celebrity_industry_Con artist,-0.01737413319643155,33947352.17275735,-5.117964166399476e-10
ballroom_partner_Alec Mazo,-0.02082597265049682,0.7428330166294683,-0.02803587372165096
celebrity_homestate_Virginia,-0.02240136703785768,,
celebrity_homestate_Arkansas,-0.024000117331683238,,
celebrity_industry_Singer/Rapper,-0.02986508838598259,,
ballroom_partner_Emma Slater/Kaitlyn Bristowe (week 9),-0.041094608455861374,0.5206201326224867,-0.07893395948569663
celebrity_homestate_West Virginia,-0.041192572118517776,,
ballroom_partner_Val Chmerkovskiy (Joey Graziadei week 9),-0.044347442214195926,,
celebrity_industry_Social media personality,-0.044347442214198785,,
ballroom_partner_Valentin Chmerkovskiy,-0.044411685504679055,0.6342166354631105,-0.07002604949371796
celebrity_homestate_Nevada,-0.047060778716993865,,
ballroom_partner_Artem Chigvintsev,-0.047616431412833275,0.7788239055406416,-0.06113889298220635
celebrity_homestate_Washington,-0.04879352254469179,0.0,
ballroom_partner_Emma Slater,-0.04929989517965644,0.9886522761900637,-0.04986575802934658
celebrity_homestate_Maryland,-0.05171196148387101,,
celebrity_industry_Model,-0.05935668367985075,,
ballroom_partner_Damian Whitewood,-0.06212637812837429,,
celebrity_homestate_Hawaii,-0.0645928365563461,0.7282230978957481,-0.0886992416788092
celebrity_industry_Motivational Speaker,-0.06641456097539504,,
celebrity_homecountry/region_Wales,-0.06800474725209618,4.479829984406684,-0.015180207170541282
celebrity_homestate_Florida,-0.07642880378227138,,
ballroom_partner_Sharna Burgess,-0.07772438722672115,0.6696893886664705,-0.11606035356404713
ballroom_partner_Keo Motsepe,-0.07993114265527473,0.7742388708015678,-0.1032383488735488
celebrity_homecountry/region_Philippines,-0.08095068441825953,,
ballroom_partner_Daniella Karagach,-0.08502698160919328,1.0313076986388878,-0.0824457935506651
ballroom_partner_Tony Dovolani,-0.08521656579616399,0.7149909537472033,-0.11918551605380687
ballroom_partner_Cheryl Burke,-0.08707095489336836,,
ballroom_partner_Ezra Sosa (Apolo Anton Ohno week 9),-0.0931822827444953,0.6387172970952888,-0.14588971234732923
celebrity_homestate_California,-0.09393114263366692,0.0,
celebrity_homestate_New Mexico,-0.09414308856790345,0.0,
ballroom_partner_Peta Murgatroyd,-0.09438438388759093,0.47691332514190315,-0.19790678706556863
ballroom_partner_Alan Bersten (Rashad Jennings week 9),-0.09454611276232978,0.8380778200966822,-0.11281304730320005
celebrity_homecountry/region_Spain,-0.09472002249992695,2.9128923915829925,-0.03251751515903132
celebrity_homestate_Kansas,-0.09570294369549867,,
ballroom_partner_Maksim Chmerkoskiy,-0.09768544373537122,0.7250158359756982,-0.13473560009059657
ballroom_partner_Ashly DelGrosso,-0.0998962917871973,1.995035072631356,-0.05007244892965158
ballroom_partner_Brian Fortuna,-0.10098555290017565,27868684.92130603,-3.6236210350553956e-09
celebrity_industry_Beauty Pagent,-0.10098555290017586,45693177.868756905,-2.2100794387782247e-09
celebrity_homecountry/region_Mexico,-0.10239919811244402,4.119451925910068,-0.024857481032460892
celebrity_homestate_New York,-0.10394449365410352,0.0,
celebrity_industry_Military,-0.1053502213080049,,
celebrity_homestate_Texas,-0.10567793428447733,,
celebrity_industry_Fashion Designer,-0.10695747403397868,,
celebrity_industry_Radio Personality,-0.10720176808903122,,
celebrity_homestate_South Dakota,-0.1085489005905616,,
celebrity_industry_Racing Driver,-0.10934460426267659,,
celebrity_homecountry/region_Ireland,-0.10982302319480197,2.9128923915829925,-0.037702396254713465
celebrity_industry_TV Personality,-0.11044731532208682,,
celebrity_industry_Social Media Personality,-0.11617200714512041,,
ballroom_partner_Lindsay Arnold,-0.11689461099656587,,
celebrity_industry_Fitness Instructor,-0.11758232306648153,,
celebrity_homecountry/region_United States,-0.11763982456534729,,
celebrity_homestate_Ohio,-0.11784341242999422,0.0,
ballroom_partner_Anna Trebunskaya,-0.11990018619189118,0.5809160029401388,-0.20639849063384547
ballroom_partner_Louis van Amstel,-0.12110114920280768,0.7816448386907923,-0.15493116976969332
celebrity_homestate_Alaska,-0.12861960798330224,0.0,
ballroom_partner_Jesse DeSoto,-0.12888076298264062,73050361.39886416,-1.7642727635382314e-09
celebrity_homestate_Rhode Island,-0.12888076298264067,162472253.26737985,-7.932478339580986e-10
ballroom_partner_Kym Johnson,-0.12949348280722117,0.7765556129062509,-0.16675364990614547
ballroom_partner_Andrea Hale,-0.1297972366789419,,
celebrity_homestate_Arizona,-0.13215170748095262,0.0,
ballroom_partner_Mark Ballas,-0.13524870571459557,0.8552807547065351,-0.15813369466147087
celebrity_homecountry/region_Canada,-0.13645926623725654,2.9128923915829925,-0.046846655452005434
celebrity_industry_Comedian,-0.1404019257764001,77.53759495726416,-0.0018107593594279576
celebrity_homestate_Washington D.C.,-0.1408575091082457,0.0,
celebrity_homestate_New Jersey,-0.14107988047361453,0.0,
ballroom_partner_Tristan MacManus,-0.14274662096073226,1.1079864553003806,-0.12883426532685632
celebrity_homestate_North Carolina,-0.14355672827077626,0.0,
ballroom_partner_Corky Ballas,-0.1451402902605993,1.0570362316338677,-0.13730871839298736
celebrity_homestate_Michigan,-0.14704186377820183,,
celebrity_homestate_Illinois,-0.15061804584205354,,
celebrity_industry_Entrepreneur,-0.15112657535182705,39.56635784224496,-0.0038195725761361174
celebrity_industry_Astronaut,-0.1558697261974623,,
celebrity_industry_Politician,-0.15968767364631908,0.49020017481633094,-0.32576013198312537
celebrity_homecountry/region_Venezuela,-0.16836227865323197,5.045277619202561,-0.03337027045101291
ballroom_partner_Dmitry Chaplin,-0.17373305337814518,0.5753734790278443,-0.30194831654682097
ballroom_partner_Jan Ravnik,-0.17447700638862176,0.23938803823148697,-0.7288459677333728
ballroom_partner_Karina Smirnoff,-0.17528470375847904,0.7723553297393302,-0.22694826721482922
celebrity_homecountry/region_Cuba,-0.1770168016381592,4.119451925910068,-0.0429709594436043
ballroom_partner_Allison Holker,-0.17839960629078322,0.7723972361081378,-0.23096872690751935
celebrity_homestate_Nebraska,-0.18234676403567596,,
ballroom_partner_Nick Kosovich,-0.1828178481171387,1.2192513555835904,-0.1499427064648483
celebrity_homestate_Missouri,-0.1856533392818834,,
ballroom_partner_Britt Stewart,-0.1859009702618975,0.6047748214713392,-0.30738873984473164
ballroom_partner_Fabian Sanchez,-0.1873191620304188,0.16351006976930454,-1.1456123913022993
celebrity_industry_Producer,-0.18843265979348212,7.9085500691400705,-0.0238264483560349
ballroom_partner_Tyne Stecklein,-0.18896144702855455,0.4017669094664964,-0.47032605865792976
celebrity_homecountry/region_Russia,-0.1893564870600474,5.449522666922058,-0.03474735286622777
celebrity_homestate_Kentucky,-0.19336775607756146,0.0,
celebrity_homestate_New Hamshire,-0.19548556418778953,0.0,
celebrity_homestate_Iowa,-0.19551342487944187,,
ballroom_partner_Julianne Hough,-0.19743501573072916,0.8485177338037859,-0.23268225031155884
ballroom_partner_Inna Brayer,-0.2058205307915627,0.30372246098318595,-0.677659894251143
ballroom_partner_Jonathan Roberts,-0.2078085312023305,0.3406901855620564,-0.6099633626354592
celebrity_homecountry/region_Czechoslovakia,-0.20794887608100843,2.9128923915829925,-0.07138913771133164
celebrity_homestate_Minnesota,-0.220368159605822,,
celebrity_homecountry/region_France,-0.22762994355023478,2.7414359673586057,-0.0830331061022585
celebrity_homestate_Delaware,-0.23490838756701266,0.0,
celebrity_homecountry/region_England,-0.23539902566306892,4.119451925910068,-0.05714328748018212
celebrity_homecountry/region_Germany,-0.2406148056748189,2.9128923915829925,-0.0826033966685801
ballroom_partner_Edyta Sliwinska,-0.2543379851448897,0.6212226075018992,-0.40941521134855374
ballroom_partner_Koko Iwasaki,-0.25721139494775275,,
celebrity_homecountry/region_Taiwan China,-0.26949591312651106,4.60568726818867,-0.05851372388826971
ballroom_partner_Lacey Schwimmer,-0.2903448283659238,0.5985883920111504,-0.4850492128496125
celebrity_homecountry/region_Chile,-0.29496755705908745,3.124259564790565,-0.0944119881661819
ballroom_partner_Chelsie Hightower,-0.29655039451122706,0.8070707996168817,-0.36744037159069587
celebrity_homecountry/region_Australia,-0.29999223863034014,5.825784783165985,-0.05149387589757672
celebrity_industry_Sports Broadcaster,-0.3287557807537042,,
celebrity_homecountry/region_Poland,-0.384242759979885,4.912133350597687,-0.07822319398823568
celebrity_homecountry/region_Italy,-0.3988183972706163,3.5675500175068504,-0.11179055523076503
celebrity_homecountry/region_South Africa,-0.4121990217856916,1.6283563496803768,-0.25313809343182186
celebrity_industry_Magician,-0.4162406334375577,22.7419472481056,-0.018302770158445007
celebrity_homecountry/region_Yugoslavia,-0.6017371684914239,0.0,
ballroom_partner_Elena Grinenko,-0.6017595203112726,0.7669302081357746,-0.7846340044083114
ballroom_partner_Anna Demidova,-0.6279846335180239,0.6647412355773533,-0.9447053979923408
intercept,-1.847070929367464,,
