feature,vif
celebrity_industry_Con artist,inf
celebrity_industry_Conservationist,inf
celebrity_industry_Beauty Pagent,inf
celebrity_industry_Social media personality,inf
celebrity_industry_Sports Broadcaster,inf
ballroom_partner_Charlotte Jorgensen,inf
ballroom_partner_Brian Fortuna,inf
ballroom_partner_Ezra Sosa,inf
ballroom_partner_Witney Carson (Xoshitl Gomez week 9),inf
ballroom_partner_Val Chmerkovskiy (Joey Graziadei week 9),inf
celebrity_homestate_Rhode Island,inf
celebrity_homestate_Maine,inf
ballroom_partner_Andrea Hale,inf
ballroom_partner_Jesse DeSoto,inf
celebrity_homecountry/region_United States,51.51135621551352
celebrity_homecountry/region_England,10.971361528239736
celebrity_homestate_California,10.805373859470382
celebrity_homecountry/region_Canada,10.262490017623934
celebrity_homestate_New York,7.996363835471945
celebrity_homecountry/region_Australia,6.539376940928354
celebrity_homestate_Texas,6.136417391394516
season,5.458739122381739
ballroom_partner_Cheryl Burke,5.417297636375756
ballroom_partner_Mark Ballas,5.093124639937672
ballroom_partner_Derek Hough,5.030473613239002
celebrity_homestate_Florida,4.9764242383811625
ballroom_partner_Maksim Chmerkoskiy,4.294612549247636
ballroom_partner_Kym Johnson,4.2779843349322135
celebrity_homestate_Georgia,4.2762173948928
ballroom_partner_Karina Smirnoff,4.072517412666757
celebrity_homecountry/region_Brazil,4.063032718356812
ballroom_partner_Valentin Chmerkovskiy,4.048766034941722
ballroom_partner_Tony Dovolani,4.017188290929209
celebrity_homestate_Illinois,3.83438337310944
celebrity_homecountry/region_France,3.5578240652446773
ballroom_partner_Sharna Burgess,3.466759971381978
celebrity_homestate_Pennsylvania,3.4334426140899836
celebrity_homecountry/region_Chile,3.3595207382946275
ballroom_partner_Peta Murgatroyd,3.2285315586964822
ballroom_partner_Emma Slater,3.203862976960746
ballroom_partner_Witney Carson,3.156276641077038
ballroom_partner_Edyta Sliwinska,3.141772553458883
ballroom_partner_Sasha Farber,3.107906939932163
celebrity_homestate_Louisiana,3.0787552401690594
celebrity_homecountry/region_Croatia,3.0641137935671194
ballroom_partner_Julianne Hough,3.0374632337727476
celebrity_homecountry/region_Italy,2.9862941924103237
ballroom_partner_Lindsay Arnold,2.971090380385983
celebrity_homestate_Michigan,2.8847739415482
celebrity_homecountry/region_Russia,2.878848722837399
celebrity_homestate_Ohio,2.86938448672549
ballroom_partner_Louis van Amstel,2.8551850148204
ballroom_partner_Jonathan Roberts,2.842782426594742
ballroom_partner_Jenna Johnson,2.8373632260781267
ballroom_partner_Artem Chigvintsev,2.83006239145067
ballroom_partner_Gleb Savchenko,2.707929767290764
celebrity_homestate_Utah,2.6904845928102934
celebrity_homecountry/region_Czechoslovakia,2.6694627348866447
celebrity_homecountry/region_Ireland,2.6648309778925077
celebrity_homecountry/region_Poland,2.6171559725869753
celebrity_homecountry/region_South Korea,2.576124783421133
celebrity_homestate_Kentucky,2.5578366721758186
celebrity_homecountry/region_Mexico,2.556842057627223
celebrity_homecountry/region_Wales,2.5415033563454856
ballroom_partner_Anna Trebunskaya,2.5226574410392453
celebrity_homestate_Washington D.C.,2.4956270047348292
celebrity_homestate_Iowa,2.4775868228139437
celebrity_homestate_Connecticut,2.4204908629239785
celebrity_industry_Athlete,2.382479082305054
celebrity_industry_Racing Driver,2.3803982059540667
celebrity_homecountry/region_Venezuela,2.361380749227261
celebrity_homecountry/region_Germany,2.3467160798928766
celebrity_homestate_New Jersey,2.333663338001924
ballroom_partner_Dmitry Chaplin,2.3335185438023474
ballroom_partner_Keo Motsepe,2.3187892474392955
celebrity_homecountry/region_Cuba,2.27925465429861
age,2.278936961928266
celebrity_homestate_Virginia,2.2662471953071353
ballroom_partner_Chelsie Hightower,2.2557529125510682
celebrity_industry_TV Personality,2.2301613530961824
ballroom_partner_Lacey Schwimmer,2.2189631892023827
celebrity_homestate_Washington,2.2071310269301487
celebrity_homestate_Massachusetts,2.2004766196867345
ballroom_partner_Brandon Armstrong,2.196272887367686
celebrity_homestate_Arkansas,2.1577873474771523
celebrity_homestate_Maryland,2.152192807676967
ballroom_partner_Allison Holker,2.1200036422909747
celebrity_homestate_Indiana,2.0905366587793726
celebrity_homestate_Mississippi,2.0684300576058265
celebrity_homecountry/region_Philippines,2.058645463810053
ballroom_partner_Daniella Karagach,2.047884588652598
celebrity_industry_Model,2.013023989070478
celebrity_homestate_Hawaii,2.005269709312991
celebrity_homestate_Arizona,1.9892900017773272
celebrity_industry_Entrepreneur,1.9665487368551653
celebrity_industry_Singer/Rapper,1.9579727752190386
ballroom_partner_Ashly DelGrosso,1.9576493447047283
celebrity_homestate_Kansas,1.9471311641156246
ballroom_partner_Pasha Pashkov,1.9413650966800315
celebrity_homestate_Nebraska,1.8968157427387502
celebrity_homestate_Missouri,1.887458815216675
ballroom_partner_Corky Ballas,1.856405456369799
celebrity_homecountry/region_New Zealand,1.843215650798654
celebrity_homestate_Colorado,1.833866022943996
celebrity_homestate_South Carolina,1.8204159194490912
celebrity_homecountry/region_South Africa,1.779472104012407
ballroom_partner_Tristan MacManus,1.754090652983272
celebrity_industry_Radio Personality,1.7491408579304115
celebrity_homestate_Delaware,1.7476388170100323
celebrity_industry_Social Media Personality,1.7440916258722514
celebrity_homestate_North Carolina,1.7315608893857422
ballroom_partner_Britt Stewart,1.7259154266608583
ballroom_partner_Rylee Arnold,1.6959123808616428
ballroom_partner_Alec Mazo,1.6819881263200342
celebrity_homestate_Oregon,1.6605502648525174
celebrity_homestate_Minnesota,1.6482333690725066
celebrity_industry_Comedian,1.591654747844359
ballroom_partner_Damian Whitewood,1.576800561797605
celebrity_homecountry/region_Spain,1.5683077564230785
celebrity_homestate_Alaska,1.5554537436861648
celebrity_homecountry/region_Taiwan China,1.5203602447374913
ballroom_partner_Nick Kosovich,1.5179569579357712
celebrity_industry_Motivational Speaker,1.487622107828265
ballroom_partner_Jan Ravnik,1.464364176282341
ballroom_partner_Alan Bersten (Rashad Jennings week 9),1.423812957803941
celebrity_industry_Producer,1.4121407689484613
celebrity_homecountry/region_Yugoslavia,1.4083789036442984
celebrity_homestate_Nevada,1.405917276238438
ballroom_partner_Emma Slater/Kaitlyn Bristowe (week 9),1.3987348790606249
celebrity_industry_Astronaut,1.3869352170339164
ballroom_partner_Ezra Sosa (Apolo Anton Ohno week 9),1.3339103069244655
celebrity_homestate_Tennessee,1.3336895641359792
celebrity_homestate_New Mexico,1.3231547215845139
celebrity_homestate_Wisconsin,1.3222863425676434
ballroom_partner_Elena Grinenko,1.3216518550530918
celebrity_homestate_New Hamshire,1.3150941094827497
celebrity_homestate_West Virginia,1.2775262183867562
ballroom_partner_Anna Demidova,1.2766339131034423
ballroom_partner_Fabian Sanchez,1.2728689470081298
ballroom_partner_Tyne Stecklein,1.265118926783334
celebrity_industry_Military,1.2648687237358411
ballroom_partner_Daniella Karagach (Rumer Willis week 9),1.2589996847760625
ballroom_partner_Koko Iwasaki,1.2144850774610472
celebrity_industry_Politician,1.1986329209165327
celebrity_industry_News Anchor,1.1845472335438056
celebrity_industry_Fashion Designer,1.1808626331162024
ballroom_partner_Val Chmerkovskiy,1.1794424122988925
celebrity_homestate_South Dakota,1.1733911416883864
celebrity_industry_Fitness Instructor,1.1715624630196892
ballroom_partner_Kym Herjavec,1.1556472432738158
celebrity_industry_Musician,1.1401692363449578
week,1.1249068082817058
celebrity_industry_Magician,1.1147560936966587
celebrity_industry_Journalist,1.07412987803705
ballroom_partner_Inna Brayer,1.035467193520914
ballroom_partner_Henry Byalikov,1.0337906770634755
